"task","category"
"Investigar um crime","Intelectual/Técnica"
"Atender um paciente no ambulatório","Cotidiano"
"Fazer uma cirurgia","Intelectual/Técnica"
"Salvar uma donzela em apuros","Fantasia/Sobrenatural"
"Rugir","Fantasia/Sobrenatural"
"Ganhar uma corrida","Física/Esportes"
"Trapacear num jogo","Outra"
"Dominar um planeta","Fantasia/Sobrenatural"
"Entender macacos","Intelectual/Técnica"
"Vencer um gorila numa luta","Física/Esportes"
"Chegar à Lua","Física/Esportes"
"Montar um cavalo","Física/Esportes"
"Domar um touro","Física/Esportes"
"Assustar uma criança","Fantasia/Sobrenatural"
"Levantar um carro","Física/Esportes"
"Fazer algo nojento","Outra"
"Ser príncipe","Fantasia/Sobrenatural"
"Ser rei","Fantasia/Sobrenatural"
"Sofrer metamorfose","Fantasia/Sobrenatural"
"Congelar um copo d'água","Fantasia/Sobrenatural"
"Dar abraços","Social/Interpessoal"
"Fazer hambúrgueres","Cotidiano"
"Nadar","Física/Esportes"
"Atirar com precisão","Física/Esportes"
"Se vingar","Outra"
"Apresentar um show ao vivo","Criativa/Artística"
"Ser host de talk show","Criativa/Artística"
"Comer um sanduíche","Cotidiano"
"Se infiltrar em uma organização criminosa","Outra"
"Fazer uma reclamação por telemarketing","Cotidiano"
"Ser atendente de telemarketing","Cotidiano"
"Ser cientista","Intelectual/Técnica"
"Fugir de um caçador","Física/Esportes"
"Jogar pique-esconde","Física/Esportes"
"Ganhar uma competição de barbas","Física/Esportes"
"Arrombar uma porta","Física/Esportes"
"Matar um dragão","Fantasia/Sobrenatural"
"Remar num barco","Física/Esportes"
"Velejar","Física/Esportes"
"Surfar","Física/Esportes"
"Lutar boxe","Física/Esportes"
"Guardar um segredo","Social/Interpessoal"
"Lutar com espadas","Física/Esportes"
"Usar um arco e flecha","Física/Esportes"
"Entregar uma carta","Cotidiano"
"Fazer alguém se apaixonar","Social/Interpessoal"
"Escalar uma montanha","Física/Esportes"
"Governar os mares","Fantasia/Sobrenatural"
"Governar o inferno","Fantasia/Sobrenatural"
"Governar o mundo","Fantasia/Sobrenatural"
"Usar a força","Fantasia/Sobrenatural"
"Administrar uma fábrica","Cotidiano"
"Fazer chocolate","Criativa/Artística"
"Ler pessoas","Intelectual/Técnica"
"Fazer parkour","Física/Esportes"
"Sequestrar alguém","Outra"
"Ganhar uma corrida","Física/Esportes"
"Ser presidente","Fantasia/Sobrenatural"
"Transformar água em vinho","Fantasia/Sobrenatural"
"Ganhar uma luta de rua","Física/Esportes"
"Escrever uma peça","Criativa/Artística"
"Escrever um livro","Criativa/Artística"
"Consertar uma geladeira","Intelectual/Técnica"
"Dar aulas","Intelectual/Técnica"
"Consertar um vazamento","Intelectual/Técnica"
"Matar uma tartaruga","Fantasia/Sobrenatural"
"Fazer um bolo de chocolate","Criativa/Artística"
"Fazer malabarismo com fogo","Criativa/Artística"
"Ser fofo","Social/Interpessoal"
"Fazer gelo","Criativa/Artística"
"Ganhar uma corrida de cavalos","Física/Esportes"
"Domar um cavalo","Física/Esportes"
"Resolver equações","Intelectual/Técnica"
"Pintar um quadro","Criativa/Artística"
"Se automutilar","Outra"
"Comer uma maçã","Cotidiano"
"Dar um golpe de estado","Fantasia/Sobrenatural"
"Entender a sociedade","Intelectual/Técnica"
"Explorar territórios desconhecidos","Física/Esportes"
"Diagnosticar um paciente","Intelectual/Técnica"
"Fumar com estilo","Cotidiano"
"Projetar uma nave espacial","Intelectual/Técnica"
"Dirigir uma universidade","Intelectual/Técnica"
"Inventar algo inovador","Intelectual/Técnica"
"Entender a natureza humana","Intelectual/Técnica"
